row_type,dataset_type,meeting_id,candidate_model,deepeval_holistic_accuracy,deepeval_holistic_coverage,system_accuracy,system_completeness,system_coverage,holistic_accuracy_delta_vs_system,holistic_coverage_delta_vs_system,accuracy_reason,coverage_reason,candidate_path,gt_path,report_path,note
meeting_model,city_council,t_1104047888607550073732755348065275078,gpt-5-mini,0.900,0.900,0.558,0.829,0.923,+0.342,-0.023,"The Actual Output closely aligns with the Expected Output, accurately reflecting the meeting context, participants, interview format, question modifications, candidate introductions, views on the General Plan, balancing property rights, council deliberations, and appointment outcomes. It includes detailed, supported claims without fabrications or contradictions. Minor deviations include additional phrasing and some expanded detail not explicitly present in the Expected Output, but these do not contradict or unjustifiably upgrade certainty.","The actual summary thoroughly covers the meeting context, participant details, interview procedures, candidate responses, Council deliberations, and final appointments, aligning closely with the expected output. Key actions such as the modified first question, use of Council Policy K2, pilot of Zoom captioning, and the December 13 resolution are accurately included. Minor omissions include some participant names and the exact voting method (tally voting) mentioned in the expected output, but these do not significantly detract from the completeness or accuracy of the summary.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/t_1104047888607550073732755348065275078/standard/gpt-5-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/t_1104047888607550073732755348065275078/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_1104047888607550073732755348065275078/offline/evaluation_report_standard_gpt-5-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,city_council,t_1104047888607550073732755348065275078,gpt-51,0.902,0.932,0.600,0.904,0.846,+0.302,+0.086,"The Actual Output closely aligns with the Expected Output, accurately reflecting the meeting context, participants, topics, and decisions without fabrications or contradictions. It provides detailed coverage of the interview process, applicant responses, council deliberations, and voting consistent with the ground truth. Minor omissions include the absence of explicit mention of the meeting being remote with public access and the Zoom captioning pilot, which are present in the Expected Output, resulting in a slight deduction. No unsupported claims or unjustified certainty upgrades are present.","The actual summary comprehensively includes all key facts from the expected summary, such as the special meeting context, seven applicants interviewed for two four-year EPC seats, the modified first question for incumbents and new applicants, the tally-based voting method, and the decision to reappoint incumbents Bill Cranston and Jose Gutierrez with a formal resolution planned for December 13. It accurately reflects participant roles, detailed applicant perspectives, council deliberations, and voting rounds. Minor omissions include the explicit mention of the meeting being remote with public access via YouTube and Zoom, and the exact next meeting date (December 6), but these do not significantly detract from the completeness or accuracy of the summary.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/t_1104047888607550073732755348065275078/standard/gpt-51/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/t_1104047888607550073732755348065275078/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_1104047888607550073732755348065275078/offline/evaluation_report_standard_gpt-51.json,deepeval_model=gpt-4.1-mini
meeting_model,city_council,t_124340835051287880658095515520861195229,gpt-41-mini,0.900,0.899,0.785,0.845,0.700,+0.115,+0.199,"The Actual Output closely aligns with the Expected Output by accurately reflecting the meeting date, virtual meeting resolution, lack of public comments, Chair Haines-Livesay's resignation announcement due to residency requirements, and scheduling conflicts for the next meeting. It includes specific participant actions and unanimous votes consistent with the ground truth. Minor unsupported elaborations, such as the detailed expressions of appreciation and the professional tone description, slightly exceed the Expected Output but do not contradict it, resulting in a near-complete match.","The actual summary includes all key facts from the expected summary, such as the January 9, 2023 meeting date, the unanimous approval of the virtual meeting resolution under AB 361, no public comments, Chair Haines-Livesay's resignation announcement due to residency requirements, and the discussion of scheduling conflicts for the next meeting. It accurately reflects decisions and participant actions, including motions and expressions of appreciation. However, it omits some participant details (e.g., roll call specifics and absent members) and exact meeting times, which are minor omissions but do not significantly impact the overall completeness.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/t_124340835051287880658095515520861195229/standard/gpt-41-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/t_124340835051287880658095515520861195229/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_124340835051287880658095515520861195229/offline/evaluation_report_standard_gpt-41-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,city_council,t_124340835051287880658095515520861195229,gpt-5-mini,0.882,0.815,0.800,0.825,0.850,+0.082,-0.035,"The Actual Output closely aligns with the Expected Output by accurately reflecting the meeting context, participants, consent calendar approval, public comments absence, chair resignation announcement, and scheduling conflict for the next meeting. It includes all key claims supported by the ground truth without fabrications or contradictions. Minor omissions include the exact meeting start and adjournment times and some participant absences noted in the Expected Output, but these do not significantly detract from the overall accuracy. No unsupported certainty upgrades are present.","The actual summary includes all key facts from the expected output: the unanimous adoption of the resolution to continue virtual meetings under AB 361, no public comments, Chair Haines-Livesay's announcement of stepping down after the January meeting due to residency requirements, and the potential scheduling conflict for the next meeting on January 30. It accurately reflects decisions and key actions, including motions and roll call. However, it omits some specific details such as the exact meeting date (January 9, 2023), the meeting start and adjournment times, and the presence or absence of certain members (Grunwald and Pardo Dazella). These omissions slightly reduce completeness but do not undermine the core content and decisions described.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/t_124340835051287880658095515520861195229/standard/gpt-5-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/t_124340835051287880658095515520861195229/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_124340835051287880658095515520861195229/offline/evaluation_report_standard_gpt-5-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,city_council,t_124340835051287880658095515520861195229,gpt-51,0.990,0.982,0.800,0.926,0.900,+0.190,+0.082,"The Actual Output fully aligns with the Expected Output, accurately reflecting all key details such as attendance, approval of the consent calendar and virtual meeting resolution, absence of public comment, Chair Haines-Livesay's resignation announcement due to residency requirements, committee members' appreciative remarks, and the scheduling conflict for the next meeting. There are no unsupported claims, fabrications, or unjustified certainty upgrades.","The actual summary includes all key facts from the expected output, such as the meeting date, participants, approval of the consent calendar and virtual meeting resolution under AB 361, absence of public comments, Chair Haines-Livesay's announcement about her departure due to residency requirements, and the discussion of the scheduling conflict for the next meeting. All decisions, dates, and participant remarks are accurately reflected with no major omissions.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/t_124340835051287880658095515520861195229/standard/gpt-51/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/t_124340835051287880658095515520861195229/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_124340835051287880658095515520861195229/offline/evaluation_report_standard_gpt-51.json,deepeval_model=gpt-4.1-mini
meeting_model,city_council,t_127444281169671611279108560503033494207,gpt-41-mini,0.892,0.892,0.885,0.756,0.840,+0.007,+0.052,"The Actual Output closely aligns with the Expected Output, accurately reflecting key details such as portfolio valuation (~$930 million), conservative management under California government code, economic impacts including inflation and Fed rate hikes, portfolio composition, and refinancing updates. It includes all major topics and participants without fabrications or contradictions. Minor discrepancies include slight differences in portfolio size figures and some certainty upgrades (e.g., emphasizing the portfolio's cautious approach mitigating losses) that are generally supported but more assertive than the Expected Output. No unsupported claims or major contradictions were found.","The actual summary comprehensively covers the key facts, actions, decisions, dates, and quantities from the expected output, including detailed portfolio performance, economic context, committee discussions, refinancing updates, and report presentations. It accurately reflects participant contributions and meeting outcomes with only minor differences in some numerical specifics (e.g., portfolio size figures vary slightly) and less emphasis on certain granular data points like exact Treasury yields or historical performance since 1995. Overall, it maintains accuracy and completeness with no major omissions, just slight detail variations.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/t_127444281169671611279108560503033494207/standard/gpt-41-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/t_127444281169671611279108560503033494207/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_127444281169671611279108560503033494207/offline/evaluation_report_standard_gpt-41-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,city_council,t_127444281169671611279108560503033494207,gpt-5-mini,0.904,0.901,0.867,0.802,0.857,+0.037,+0.044,"The Actual Output closely aligns with the Expected Output, accurately reflecting key details such as the -3.3% total return, portfolio duration, corporate allocation increases, SEC rule changes enabling 144A purchases, and the Shoreline bonds refinancing status. It includes comprehensive coverage of meeting discussions, participant contributions, and policy compliance without fabrications or contradictions. Minor differences in phrasing and some additional contextual details do not detract from factual accuracy or introduce unsupported claims, and no unjustified certainty upgrades are present.","The actual summary comprehensively covers all key facts, actions, and decisions from the expected output, including detailed inflation drivers, Federal Reserve actions, portfolio metrics, corporate allocations, minutes approval, and Shoreline bonds refinancing. Dates and quantities such as the -3.3% return, corporate allocation increases, and duration metrics are accurately reflected. Minor differences in phrasing and some less emphasis on exact numeric details (e.g., specific CPI percentages) prevent a perfect score, but overall alignment with the evaluation steps is strong.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/t_127444281169671611279108560503033494207/standard/gpt-5-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/t_127444281169671611279108560503033494207/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_127444281169671611279108560503033494207/offline/evaluation_report_standard_gpt-5-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,city_council,t_127444281169671611279108560503033494207,gpt-51,0.962,0.915,0.871,0.875,0.964,+0.091,-0.049,"The Actual Output comprehensively aligns with the Expected Output, accurately reflecting all key claims including economic conditions, portfolio performance, policy compliance, committee discussions, and decisions. There are no unsupported additions, fabrications, or unjustified certainty upgrades. The detailed summary matches the ground truth topics and decisions precisely, demonstrating strong fidelity to the evaluation criteria.","The actual summary comprehensively covers all key facts, actions, dates, and quantities from the expected output, including detailed economic context, portfolio performance, policy compliance, refinancing updates, and committee decisions. It accurately reflects the conservative investment approach, inflation impacts, and committee discussions on 144A securities and active management. Minor differences in numeric precision and some less explicit mention of participant names or exact vote counts slightly reduce perfect alignment, but no major critical information is omitted.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/t_127444281169671611279108560503033494207/standard/gpt-51/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/t_127444281169671611279108560503033494207/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_127444281169671611279108560503033494207/offline/evaluation_report_standard_gpt-51.json,deepeval_model=gpt-4.1-mini
meeting_model,city_council,t_138875998642370285081837761644930976049,gpt-41-mini,0.900,0.900,0.678,0.778,0.841,+0.222,+0.059,"The Actual Output closely aligns with the Expected Output, accurately reflecting key claims such as the denial of two liability claims, recognition of Sally Lieber, consent calendar approvals, public comments, dignitary remarks, oath of office, and election of new Mayor and Vice Mayor. It includes detailed specifics consistent with the ground truth, such as vote counts and participant names. Minor omissions include some detailed figures and specific policy references (e.g., exact housing unit numbers, ARPA funding details) present in the Expected Output, but no fabricated or contradictory information is introduced. The certainty level is appropriate and supported by the ground truth.","The actual summary comprehensively covers all major facts from the expected output, including the hybrid meeting context, denial of two liability claims with unanimous votes, recognition of Sally Lieber, consent calendar approvals, public comments on parking, dignitary congratulations with federal funding details, outgoing Mayor Ramirez's recognition, oath of office for re-elected members, and unanimous election of new Mayor and Vice Mayor. Dates, decisions, and quantities are accurately reflected. Minor omissions include specific dollar amounts for claims and some detailed policy priorities, but these do not constitute major critical information gaps.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/t_138875998642370285081837761644930976049/standard/gpt-41-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/t_138875998642370285081837761644930976049/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_138875998642370285081837761644930976049/offline/evaluation_report_standard_gpt-41-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,city_council,t_138875998642370285081837761644930976049,gpt-5-mini,0.902,0.944,0.720,0.795,0.887,+0.182,+0.057,"The Actual Output closely aligns with the Expected Output, accurately reflecting key meeting details such as the hybrid format, closed session liability claims with claimant names and outcomes, proclamations for Sally Lieber and outgoing Mayor Ramirez, consent calendar approvals including AB361 and bus-only lanes, public comments on parking enforcement, federal and district funding updates, and unanimous elections of Mayor Hicks and Vice Mayor Showalter. Minor omissions include some specific numeric housing data and detailed policy priorities mentioned in the Expected Output, but no unsupported or fabricated claims are present, and certainty levels are appropriate.","The actual summary comprehensively covers all key facts, actions, and decisions from the expected summary, including the hybrid meeting format, closed session liability claims and denials, proclamations for Sally Lieber and outgoing Mayor Ramirez, consent calendar approvals, public comments, external funding updates, oath of office, and leadership elections. Dates, quantities, and vote outcomes are accurately reflected. Minor omissions include specific housing unit numbers and some detailed policy priorities, but these do not significantly detract from the overall completeness and accuracy.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/t_138875998642370285081837761644930976049/standard/gpt-5-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/t_138875998642370285081837761644930976049/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_138875998642370285081837761644930976049/offline/evaluation_report_standard_gpt-5-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,city_council,t_138875998642370285081837761644930976049,gpt-51,0.998,1.000,0.649,0.915,1.000,+0.349,+0.000,"The Actual Output fully aligns with the Expected Output, accurately reflecting all key claims including the hybrid meeting format, detailed recognitions of Sally Lieber and Mayor Ramirez, council reorganization, consent calendar approvals, liability claim denials, and public participation procedures. There are no unsupported additions, fabrications, or unjustified certainty upgrades. The response comprehensively covers all topics and decisions as specified in the ground truth.","The actual summary comprehensively includes all key facts, actions, and decisions from the expected summary, accurately reflecting dates, quantities, and participant details. It covers the hybrid meeting context, closed session liability claims and their unanimous denial, detailed recognitions for Sally Lieber and outgoing Mayor Ramirez, re-elections and oaths of office, unanimous elections of Mayor Hicks and Vice Mayor Showalter, consent calendar approvals, public comments including the parking moratorium request, and closing remarks. All major dates, figures (e.g., housing units approved), and procedural elements are correctly presented, demonstrating full alignment with the evaluation criteria.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/t_138875998642370285081837761644930976049/standard/gpt-51/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/t_138875998642370285081837761644930976049/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_138875998642370285081837761644930976049/offline/evaluation_report_standard_gpt-51.json,deepeval_model=gpt-4.1-mini
meeting_model,city_council,t_153646994727591924137215190422748124328,gpt-41-mini,0.719,0.689,0.567,0.811,0.791,+0.152,-0.102,"The Actual Output accurately covers the main agenda items and approvals at 339 Franklin St, 1411-1495 W El Camino Real, and 890 Central Ave, including participant involvement and appeal rights, aligning well with the Expected Output. However, it introduces unsupported details such as specific square footage, names like Stephanie Williams approving permits (where the Expected Output states she acted as zoning administrator but does not mention her motioning), and committee members' motions and seconds not fully matching the Expected Output (e.g., Diana Fizely vs. Diana Fizzelli). It also omits the consent calendar item at 2134 Old Middlefield Way and the meeting context date, which are present in the Expected Output. Some certainty upgrades and additional narrative (e.g., health of the heritage tree) are not explicitly supported by the Expected Output, leading to moderate penalties.","The actual summary includes most key facts such as the three main agenda items (339 Franklin St, 1411-1495 W El Camino Real extension, and 890 Central Ave lot line adjustment), participant names, and approvals with motions. However, it omits the meeting date (October 12, 2022), the consent calendar item at 2134 Old Middlefield Way, and some specific details like the exact acreage of the 339 Franklin St site (0.17 acres) and the number of condominium lots (53 plus one common lot) at El Camino Real. The actual summary also inaccurately attributes some approvals (Stephanie Williams approving all permits rather than the zoning administrator for some) and misses the adjournment time. Overall, it is detailed but incomplete and slightly inaccurate in participant roles and some specifics.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/t_153646994727591924137215190422748124328/standard/gpt-41-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/t_153646994727591924137215190422748124328/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_153646994727591924137215190422748124328/offline/evaluation_report_standard_gpt-41-mini.json,deepeval_model=gpt-4.1-mini
meeting_model,city_council,t_153646994727591924137215190422748124328,gpt-5-mini,0.900,0.900,0.659,0.911,0.959,+0.241,-0.059,"The Actual Output closely aligns with the Expected Output, accurately reflecting all key meeting topics, participants, and decisions including approvals, CEQA exemptions, and appeal periods. Minor discrepancies include the incorrect spelling of 'Steve Surrey' as 'Steve Saray' and the addition of some specific details (e.g., balcony size limit) not explicitly present in the Expected Output, which slightly reduces the score due to unsupported additions and a minor factual inconsistency.","The actual summary includes all key facts, actions, decisions, dates, and quantities from the expected output, such as approvals of the consent calendar, 339 Franklin St. permits and lot line adjustment, the one-year extension at 1411-1495 W El Camino Real, and the lot line adjustment at 890 Central Ave. It accurately reflects participants, CEQA exemptions, and appeal periods. Minor differences include less explicit mention of the meeting date and some participant name discrepancies (e.g., Steve Saray vs. Steve Surrey), but these do not significantly impact the completeness or accuracy of the summary.",/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/candidate/internal/t_153646994727591924137215190422748124328/standard/gpt-5-mini/baseline.md,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/ground_truth/internal/t_153646994727591924137215190422748124328/meetingsummary/ground_truth.json,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_153646994727591924137215190422748124328/offline/evaluation_report_standard_gpt-5-mini.json,deepeval_model=gpt-4.1-mini
